Sample_ID,Sample_Name_original
IGF119489,RSMG1_2
IGF119490,RSMG1_3
IGF119491,RSMG1_5
IGF119492,RSMG1_1
IGF119493,RSMG1_4
IGF119494,RSMG1_6
IGF119495,RSMG2_2
IGF119496,RSMG2_3
IGF119497,RSMG2_5
IGF119498,RSMG2_1
IGF119499,RSMG2_4
IGF119500,RSMG2_6
IGF119501,RSMG3_2
IGF119502,RSMG3_3
IGF119503,RSMG3_5
IGF119504,RSMG3_1
IGF119505,RSMG3_4
IGF119506,RSMG3_6
IGF119507,RSMG4_2
IGF119508,RSMG4_4
IGF119509,RSMG4_6
IGF119510,RSMG4_1
IGF119511,RSMG4_3
IGF119512,RSMG4_5
IGF119513,RSMG4_7
IGF119514,RSMG5_2
IGF119515,RSMG5_4
IGF119516,RSMG5_6
IGF119517,RSMG5_1
IGF119518,RSMG5_3
IGF119519,RSMG5_5
IGF119520,RSMG5_7
IGF119521,RSMG6_1
IGF119522,RSMG6_2
IGF119523,RSMG6_3
IGF119524,RSMG6_4
IGF119525,RSMG7_1
IGF119526,RSMG7_2
IGF119527,RSMG7_3
IGF119528,RSMG7_4
IGF119529,RSMG7_5
IGF119530,RSMG7_6
IGF119531,RSMG7_7
IGF119532,RSMG8_2
IGF119533,RSMG8_4
IGF119534,RSMG8_1
IGF119535,RSMG8_3
IGF119536,RSMG8_5
IGF119537,RSMG9_2
IGF119538,RSMG9_4
IGF119539,RSMG9_6
IGF119540,RSMG9_1
IGF119541,RSMG9_3
IGF119542,RSMG9_5
IGF119543,RSMG9_7
IGF119544,RSMG10_2
IGF119545,RSMG10_5
IGF119546,RSMG10_1
IGF119547,RSMG10_3
IGF119548,RSMG10_4
IGF119549,RSMG10_6
IGF119550,RSMG11_2
IGF119551,RSMG11_5
IGF119552,RSMG11_1
IGF119553,RSMG11_3
IGF119554,RSMG11_4
IGF119555,RSMG11_6
IGF119556,RSMG12_2
IGF119557,RSMG12_4
IGF119558,RSMG13_5
IGF119559,RSMG12_3
IGF119560,RSMG12_5
IGF119561,RSMG12_6
IGF119562,RSMG12_7
IGF119563,RSMG12_8
IGF119564,RSMG13_2
IGF119565,RSMG13_3
IGF119566,RSMG12_1
IGF119567,RSMG13_1
IGF119568,RSMG13_4
IGF119569,RSMG13_6
IGF119570,RSMG14_2
IGF119571,RSMG14_4
IGF119572,RSMG14_6
IGF119573,RSMG14_1
IGF119574,RSMG14_3
IGF119575,RSMG14_5
IGF119576,RSMG14_7
IGF119577,RSMG14_8
IGF119578,RSMG15_2
IGF119579,RSMG15_6
IGF119580,RSMG15_1
IGF119581,RSMG15_3
IGF119582,RSMG15_5
IGF119583,RSMG15_7
IGF119584,RSMG16_2
IGF119585,RSMG15_4
IGF119586,RSMG16_4
IGF119587,RSMG16_6
IGF119588,RSMG16_1
IGF119589,RSMG16_3
IGF119590,RSMG16_5
IGF119591,RSMG16_7
IGF119592,RSMG17_2
IGF119593,RSMG17_4
IGF119594,RSMG17_6
IGF119595,RSMG17_1
IGF119596,RSMG17_3
IGF119597,RSMG17_5
IGF119598,RSMG17_7
IGF123494,S17-109-ITG
IGF123495,S15-016-ITG
IGF123499,S17-016-ITG
IGF123506,S17-093-ITG
IGF123512,S18-123-ITG
IGF123513,S15-033-ITG
IGF123523,S17-005-ITG
IGF123531,S18-112-ITG
IGF123537,S18-030-ITG
IGF123550,S15-027-ITG
IGF123555,S18-105-ITG
IGF123556,S15-074-ITG
IGF124275,S15-016-ITG
